SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,PPOPCHG_2010,PPOPCHG_2011,PPOPCHG_2012,PPOPCHG_2013,PPOPCHG_2014,PPOPCHG_2015,NRANK_ESTBASE2010,NRANK_POPEST2010,NRANK_POPEST2011,NRANK_POPEST2012,NRANK_POPEST2013,NRANK_POPEST2014,NRANK_POPEST2015,NRANK_NPCHG2010,NRANK_NPCHG2011,NRANK_NPCHG2012,NRANK_NPCHG2013,NRANK_NPCHG2014,NRANK_NPCHG2015,NRANK_PPCHG2010,NRANK_PPCHG2011,NRANK_PPCHG2012,NRANK_PPCHG2013,NRANK_PPCHG2014,NRANK_PPCHG2015
010,0,0,00,United States,308758105,309346863,311718857,314102623,316427395,318907401,321418820,588758,2371994,2383766,2324772,2480006,2511419,0.1906858445,0.7667748679,0.7647166498,0.7401313551,0.7837519884,0.7875072802,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
020,1,0,00,Northeast Region,55318348,55387174,55638038,55835056,56019353,56171281,56283891,68826,250864,197018,184297,151928,112610,0.1244180322,0.4529279649,0.3541066635,0.3300739951,0.271206274,0.2004761116,4,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,4,4,4
020,2,0,00,Midwest Region,66929897,66977505,67156488,67340231,67565788,67762069,67907403,47608,178983,183743,225557,196281,145334,0.0711311419,0.267228527,0.2736042421,0.334951331,0.2905035312,0.2144769222,3,3,3,3,3,3,3,4,4,4,3,3,3,4,4,4,3,3,3
020,3,0,00,South Region,114562953,114862858,116080267,117331340,118487418,119795010,121182847,299905,1217409,1251073,1156078,1307592,1387837,0.2617818345,1.0598804707,1.0777654397,0.9853104891,1.1035703386,1.1585098578,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1
020,4,0,00,West Region,71946907,72119326,72844064,73595996,74354836,75179041,76044679,172419,724738,751932,758840,824205,865638,0.2396475501,1.0049151042,1.0322488322,1.0310887022,1.1084753115,1.1514352784,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
040,3,6,01,Alabama,4780127,4785161,4801108,4816089,4830533,4846411,4858979,5034,15947,14981,14444,15878,12568,0.1053110095,0.3332594243,0.3120321392,0.2999114011,0.3287007873,0.2593259218,23,23,23,23,23,23,24,30,27,27,31,28,29,38,39,38,37,33,35
040,4,9,02,Alaska,710249,714021,722720,731228,737442,737046,738432,3772,8699,8508,6214,-396,1386,0.5310813532,1.2183115062,1.1772193934,0.8498033445,-0.053699138,0.1880479644,47,47,47,47,47,48,48,33,39,41,42,47,44,2,7,11,21,46,40
040,4,8,04,Arizona,6392307,6408208,6468732,6553262,6630799,6728783,6828065,15901,60524,84530,77537,97984,99282,0.2487521328,0.9444762093,1.3067475975,1.1831817498,1.4777103031,1.4754822677,16,16,16,15,15,15,14,11,10,6,7,5,8,16,16,8,9,7,9
040,3,7,05,Arkansas,2915958,2922394,2938538,2949499,2957957,2966835,2978204,6436,16144,10961,8458,8878,11369,0.2207164849,0.5524238005,0.3730086186,0.2867605651,0.3001395896,0.3832029756,32,32,32,32,32,32,33,25,26,36,39,37,33,20,32,32,39,35,29
040,4,9,06,California,37254503,37334079,37700034,38056055,38414128,38792291,39144818,79576,365955,356021,358073,378163,352527,0.2136010243,0.9802170291,0.9443519335,0.9409094032,0.9844372883,0.9087552988,1,1,1,1,1,1,1,2,2,2,2,2,3,21,12,19,16,15,17
